erk,R,P,C,label
3.451602994,4.134771711e-10,0.1123190906,1.510707622,stable
3.491439332,3.449942311e-10,0.1113228885,1.514182515,stable
3.531281532,3.586097582e-10,0.1103440597,1.517594559,stable
3.571129335,2.951399566e-10,0.1093821599,1.520945431,stable
3.610982495,3.124910593e-10,0.1084367595,1.524236753,stable
3.650840779,2.531478307e-10,0.107507443,1.52747009,stable
3.690703966,2.735518445e-10,0.1065938084,1.530646952,stable
3.730571846,2.176234212e-10,0.1056954669,1.533768798,stable
3.77044422,2.4053437e-10,0.104812042,1.536837039,stable
3.810320899,1.874460041e-10,0.1039431694,1.539853037,stable
3.850201704,2.124248804e-10,0.1030884962,1.542818108,stable
3.890086463,1.617098317e-10,0.1022476809,1.545733528,stable
3.929975014,1.884018161e-10,0.1014203923,1.548600527,stable
3.969867203,1.39679092e-10,0.1006063099,1.551420298,stable
4.009762883,1.677960177e-10,0.09980512284,1.554193994,stable
4.049661914,1.207530141e-10,0.09901652992,1.556922731,stable
4.089564162,1.500597695e-10,0.09824023905,1.559607589,stable
4.129469501,1.044387808e-10,0.09747596703,1.562249617,stable
4.16937781,1.34742688e-10,0.09672343915,1.564849827,stable
4.209288972,9.033028603e-11,0.0959823889,1.567409201,stable
4.249202879,1.214727924e-10,0.09525255768,1.569928693,stable
4.289119424,7.809144795e-11,0.09453369453,1.572409223,stable
4.329038509,1.099415498e-10,0.09382555581,1.574851688,stable
4.368960036,6.744297561e-11,0.09312790497,1.577256955,stable
4.408883915,9.989203208e-11,0.09244051229,1.579625864,stable
4.448810058,5.815186691e-11,0.09176315465,1.581959234,stable
4.488738382,9.110944584e-11,0.09109561528,1.584257855,stable
4.528668807,5.002300302e-11,0.09043768355,1.586522498,stable
4.568601256,8.341356923e-11,0.08978915476,1.588753909,stable
4.608535657,4.289239505e-11,0.08914982993,1.590952812,stable
4.648471939,7.665264657e-11,0.08851951561,1.593119912,stable
4.688410036,3.662174348e-11,0.08789802367,1.595255894,stable
4.728349884,7.069846255e-11,0.08728517115,1.59736142,stable
4.76829142,3.109402445e-11,0.08668078007,1.599437139,stable
4.808234587,6.544233265e-11,0.08608467728,1.601483676,stable
4.848179328,2.620990009e-11,0.08549669427,1.603501644,stable
4.888125588,6.07918427e-11,0.08491666703,1.605491634,stable
4.928073316,2.188479003e-11,0.08434443593,1.607454225,stable
4.968022463,5.666817455e-11,0.08377984552,1.609389977,stable
5.007972979,1.804646007e-11,0.08322274446,1.611299438,stable
